Manufacturer,Model,Engine_Type,HP_or_lbs_thr_ea_engine,Max_speed_Knots,Rcmnd_cruise_Knots,Stall_Knots_dirty,Fuel_gal_lbs,All_eng_service_ceiling,All_eng_rate_of_climb,Takeoff_over_50ft,Takeoff_ground_run,Landing_over_50ft,Landing_ground_roll,Gross_weight_lbs,Empty_weight_lbs,Length_ft_in,Height_ft_in,Wing_span_ft_in,Range_NM,
Cessna Aircraft Company,207 Skywagn & Stnair 7&8 (prior'79 lgt=31/9),Piston,300,150,143,59,61,"13,300",810,"1,970","1,100","1,500",765,"3,800","2,177",32/2,9/7,35/10,612,
Cessna Aircraft Company,TU 206G II Stationair 6 (float),Piston,310,155,135,52,92,"25,600",835,"2,790","1,810","1,750",845,"3,600","2,404",29/8,14/2,35/10,640,
Cessna Aircraft Company,"TU206 C,-D,-E,-F (float) (prior '71 span=36/7)",Piston,285,157,143,50,65,"24,200",950,"2,400","1,400","1,610",710,"3,600","2,295",28/6,13/11,35/10,626,
Cessna Aircraft Company,U206 G II Stationair 6 (float) '79-'82,Piston,300,137,131,51,92,"13,900",925,"2,820","1,835","1,675",780,"3,500","2,342",29/8,14/2,35/10,680,
Cessna Aircraft Company,U206G (float) Stationair 6,Piston,300,136,130,53,61,"13,900",855,"2,475","1,445","1,570",695,"3,500","2,312",29/8,14/1,35/10,580,
Cessna Aircraft Company,"U206E,F, float ('75-'76 specs) '76=+4 gal fuel",Piston,300,136,131,49,65,"13,900",855,"2,475","1,445","1,570",695,"3,500","2,200",28/6,13/11,35/10,510,
Cessna Aircraft Company,"206C,D, float Skywagon",Piston,300,136,131,,65,"13,900",855,"2,475","1,445","1,570",695,"3,500","2,060",28/6,13/11,36/10,510,
Cessna Aircraft Company,"TU 206E,F (ski) (prior'76=4 gal more fuel)",Piston,285,145,132,61,65,"23,500",920,,,,,"3,300","2,165",28/8,9/8,35/10,626,
Cessna Aircraft Company,U206 F (ski) Stationair (1976 specs),Piston,300,121,118,52,61,"11,500",800,,,,,"3,300","2,133",28/0,9/8,35/10,510,
Cessna Aircraft Company,"U206 E,F (ski) Super Skywagon",Piston,300,121,119,52,65,"11,500",800,,,,,"3,300","2,065",28/8,9/8,35/10,510,
Cessna Aircraft Company,TU 206G (prior'79=12 gal less fuel+9/7 hgt),Piston,310,174,152,54,92,"27,000","1,010","1,640",835,"1,395",735,"3,600","2,066",28/3,9/4,35/10,640,
Cessna Aircraft Company,"TU 206E,F Stationair",Piston,285,174,148,53,65,"26,300","1,030","1,810",910,"1,395",735,"3,600","1,935",28/9,9/7,35/10,580,
Cessna Aircraft Company,"TU 206 A,B,C,D,(A&B length=27/8)",Piston,285,174,160,53,65,"26,300","1,030","1,810",910,"1,395",735,"3,600","1,795",27/8,9/9,36/7,627,
Cessna Aircraft Company,"U206 F,G II ('75 up) '75 lgt=28/9 + prior'79 less fuel)",Piston,300,156,147,54,92,"14,800",920,"1,780",900,"1,395",735,"3,600","2,002",28/3,9/4,35/10,680,
Cessna Aircraft Company,"U206B,C,D,E Skywagon (B=lgt 28/0) (E=35/10 span)",Piston,300,151,143,53,65,"14,800",920,"1,780",900,"1,395",735,"3,600","1,725",28/8,9/7,36/7,510,
Cessna Aircraft Company,U 206 A,Piston,285,151,142,53,65,"14,800",920,"1,810",910,"1,340",735,"3,600","1,795",27/9,9/9,36/7,555,
Cessna Aircraft Company,"206, U 206 Super Skywagon",Piston,285,154,144,52,65,"16,700","1,075","1,265",675,"1,340",735,"3,300","1,760",27/9,9/9,36/7,563,
Cessna Aircraft Company,"TP 206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",Piston,285,174,160,53,65,"26,300","1,030","1,810",910,"1,395",735,"3,600","1,915",28/3,9/8,36/7,609,
Cessna Aircraft Company,T206H Turbo Stationair,Piston,310,178,150,54,92,"27,000","1,050","1,740",910,"1,395",735,"3,600","2,351",28/3,9/4,36/0,713,
Cessna Aircraft Company,206H Stationair,Piston,300,151,142,54,92,"15,700",988,"1,860",910,"1,395",735,"3,600","2,351",28/3,9/4,36/0,713,
Cessna Aircraft Company,"P206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",Piston,285,151,142,53,65,"14,800",920,"1,810",910,"1,395",735,"3,600","1,820",28/3,9/8,36/7,555,
Cessna Aircraft Company,P 206 Super Skylane,Piston,285,154,143,52,65,"16,700","1,075","1,265",675,"1,340",735,"3,300","1,790",28/2,9/8,36/6,565,
Cessna Aircraft Company,205-A,Piston,260,145,138,50,65,"16,100",965,"1,465",685,"1,510",625,"3,300","1,750",27/3,9/7,36/6,515,
Cessna Aircraft Company,195 B,Piston,275,152,143,54,80,"16,250","1,135","1,605",,"1,495",,"3,350","2,050",27/3,7/2,36/2,583,
Cessna Aircraft Company,195 A,Piston,245,153,139,56,80,"16,000","1,050","1,670",,"1,495",,"3,350","2,030",27/3,7/2,36/2,603,
Cessna Aircraft Company,195,Piston,300,157,148,55,80,"16,000","1,090","1,670",,"1,495",,"3,350","2,050",27/3,7/2,36/2,600,
Cessna Aircraft Company,190,Piston,240,153,139,56,80,"16,000","1,090","1,670",,"1,495",,"3,350","2,015",27/3,7/2,36/2,610,
Cessna Aircraft Company,T 188C Ag Husky (prior'81=4 mph less),Piston,310,113,106,58,54,"14,000",510,"2,060","1,290","1,265",420,"4,400","2,322",26/6,8/2,41/8,283,
Cessna Aircraft Company,A188B Ag Truck ('79 & up) dispersal sys,Piston,300,106,101,57,54,"7,800",465,"2,250","1,410","1,265",420,"4,200","2,230",25/11,8/2,41/8,290,
Cessna Aircraft Company,A188B Ag Wagon ('79 & up) dispersal sys,Piston,300,107,103,55,54,"8,700",525,"1,965","1,250","1,265",420,"4,000","2,179",25/11,8/2,40/9,290,
Cessna Aircraft Company,A188 Ag Truck restricted ('72-'73=7/10 hgt),Piston,300,105,98,50,54,"11,100",690,"1,090",680,"1,265",420,"4,200","2,220",26/3,8/0,41/8,290,
Cessna Aircraft Company,A188 Ag Wagon restricted (prior'77=7/10 hgt),Piston,300,105,98,50,37,"11,100",690,"1,090",680,"1,265",420,"4,000","2,189",26/3,8/0,40/9,278,
Cessna Aircraft Company,188 Ag Pickup fixed-prop ('73-'75) restricted,Piston,230,91,78,50,37,"6,500",400,"1,920","1,120","1,265",420,"3,800","1,900",25/3,7/10,40/9,204,
Cessna Aircraft Company,188 Ag Pickup fixed-prop ('72) restricted,Piston,230,94,83,50,37,"7,700",460,"1,740","1,040","1,265",420,"3,800","1,835",25/3,7/9,40/9,204,
Cessna Aircraft Company,"A188,A,B, Ag Wagon ('66-'71) normal",Piston,300,131,123,50,37,"15,700",940,970,610,"1,265",420,"3,300","1,845",26/3,7/4,40/4,278,
Cessna Aircraft Company,"188A,B Ag Wagon ('67-'71) fixed-prop normal",Piston,230,103,101,50,37,"13,000",710,"1,365",845,"1,265",420,"3,300","1,815",25/3,7/4,40/4,204,
Cessna Aircraft Company,185 F Amph (water) prior '79 = 4-8 gal less fuel,Piston,300,136,130,50,88,"16,100",950,"1,710","1,125","1,480",775,"3,100","2,253",27/6,12/8,35/10,500,
Cessna Aircraft Company,A185 F (float) (prior '79 = 4-8 gal less fuel),Piston,300,141,134,52,88,"16,400",960,"2,125","1,430","1,565",830,"3,320","1,998",27/0,12/2,35/10,522,
Cessna Aircraft Company,A185 F (ski) (prior '79=less fuel) '77-78 lgt=27/11,Piston,300,136,131,49,88,"15,500",860,,,,,"3,350","1,842",27/10,7/9,35/10,522,
Cessna Aircraft Company,A185 F II Skywagon (prior '81=less perform),Piston,300,155,145,49,88,"17,900","1,075","1,430",825,"1,400",610,"3,350","1,750",25/8,7/9,35/10,645,
Cessna Aircraft Company,A 185 E Skywagon,Piston,300,155,147,51,65,"17,500","1,040","1,330",745,"1,400",480,"3,350","1,565",25/6,7/9,36/2,470,
Cessna Aircraft Company,185 E Skywagon,Piston,300,153,145,54,65,"16,900",950,"1,290",725,"1,285",625,"3,300","1,560",25/6,7/7,36/2,470,
Cessna Aircraft Company,"185 A,B,C,D Skywagon",Piston,260,153,145,54,65,"17,300","1,000","1,510",650,"1,265",610,"3,200","1,520",25/5,7/6,36/0,561,
Cessna Aircraft Company,R182 II RG Turbo Skylane,Piston,235,187,173,50,92,"20,000","1,040","1,570",820,"1,320",600,"3,100","1,846",28/8,8/11,35/10,845,
Cessna Aircraft Company,R182-RG II Skylane (optl EGT required on svc. ceil.),Piston,235,160,156,50,92,"18,000","1,140","1,570",820,"1,320",600,"3,100","1,809",28/8,8/11,35/10,845,
Cessna Aircraft Company,T-182R II Turbo Skylane,Piston,235,168,157,49,92,"20,000",965,"1,475",790,"1,350",590,"3,100","1,781",28/5,9/3,35/10,743,
Cessna Aircraft Company,T182T Turbo Skylane,Piston,235,176,159,49,92,"20,000","1,040","1,385",775,"1,350",590,"3,100","2,075",29/0,9/4,36/0,971,
Cessna Aircraft Company,182T Skylane,Piston,230,150,145,49,92,"18,100",924,"1,514",795,"1,350",590,"3,100","1,970",29/0,9/4,36/0,930,
Cessna Aircraft Company,182S ('97 & up),Piston,230,143,140,46,88,"18,100",924,"1,625",795,"1,280",540,"3,110","1,882",28/0,9/3,16/0,813,
Cessna Aircraft Company,182R II (1981 & up),Piston,230,146,142,49,92,"14,900",865,"1,515",805,"1,350",590,"3,100","1,775",28/0,9/3,35/10,817,
Cessna Aircraft Company,"182P,Q (prior '79 = 8-12 gal less fuel) thru'80",Piston,230,148,143,50,92,"16,500","1,010","1,350",705,"1,350",590,"2,950","1,754",28/0,9/3,35/10,817,
Cessna Aircraft Company,182 N Skylane,Piston,230,146,139,50,65,"17,700",890,"1,350",705,"1,350",590,"2,950","1,640",28/1,8/9,35/10,550,
Cessna Aircraft Company,"182 J,K,L,M Skylane (M lgt=28/1, hgt=8/9)",Piston,230,148,141,48,65,"18,900",980,"1,205",625,"1,350",590,"2,800","1,620",28/5,8/1,36/2,550,
Cessna Aircraft Company,"182 E,F,G,H",Piston,230,148,141,48,65,"18,900",980,"1,205",625,"1,350",590,"2,800","1,610",27/4,9/0,36/2,550,
Cessna Aircraft Company,"182 A,B,C,D (D=more fuel & bigger)",Piston,230,148,141,54,55,"19,800","1,030","1,080",620,"1,310",610,"2,650","1,560",26/0,8/5,36/0,450,
Cessna Aircraft Company,182,Piston,230,143,135,54,55,"20,100","1,120","1,020",620,"1,290",610,"2,550","1,540",26/0,8/5,36/0,443,
Cessna Aircraft Company,180K-'78 up (amphib & float=27/0 length & 12/2 height),Piston,230,137,123,48,88,"15,300",970,"1,900","1,160","1,720",735,"2,950","2,204",27/6,12/8,35/10,804,
Cessna Aircraft Company,"180J,K amphib prior'76=4 gal more fuel (range w/80 gal fuel)",Piston,230,137,123,48,61,"16,000",990,"2,070","1,280","1,720",735,"2,950","2,110",27/6,12/8,35/10,804,
Cessna Aircraft Company,"180J,K (float) prior '76 lgt=27/8 (range w/80)",Piston,230,137,123,48,61,"16,000",990,"2,070","1,280","1,720",735,"2,950","1,955",27/0,12/2,35/10,804,
Cessna Aircraft Company,"180J,K (ski) (prior'79=15,600 serv. ceil, less fuel)",Piston,230,137,123,48,88,"14,700",910,,,,,"2,800","1,790",28/10,7/9,35/10,804,
Cessna Aircraft Company,"180J,K (J=19,600 service ceiling)",Piston,230,148,141,48,88,"17,700","1,100","1,205",625,"1,365",480,"2,800","1,701",25/8,7/9,35/10,804,
Cessna Aircraft Company,"180 G,-H",Piston,230,148,141,50,65,"19,600","1,090","1,205",625,"1,365",480,"2,800","1,525",25/6,7/6,36/2,622,
Cessna Aircraft Company,"180 A,-B,-C,-D,-E,-F",Piston,230,148,139,54,55,"21,500","1,130","1,080",615,"1,330",460,"2,650","1,555",26/0,7/5,36/0,513,
Cessna Aircraft Company,180,Piston,225,144,137,51,55,"21,200","1,110","1,095",610,"1,310",450,"2,550","1,540",26/0,7/5,36/0,513,
Cessna Aircraft Company,177 RG Cardinal (1972-'78),Piston,200,157,149,50,61,"17,100",925,"1,585",890,"1,350",730,"2,800","1,765",27/3,8/7,35/6,500,
Cessna Aircraft Company,177 RG Cardinal,Piston,200,153,144,50,51,"16,900",860,"1,585",890,"1,350",730,"2,800","1,630",27/3,8/7,35/6,506,
Cessna Aircraft Company,177 B Cardinal (1975-'78 specs),Piston,180,139,130,46,50,"14,600",840,"1,400",750,"1,220",600,"2,500","1,643",27/3,8/7,35/6,490,
Cessna Aircraft Company,177 B (thru'74)'70-'71 lgt=27/0 & hgt=9/1,Piston,180,133,123,46,50,"14,600",840,"1,400",750,"1,220",600,"2,500","1,485",27/3,8/7,35/6,417,
Cessna Aircraft Company,177 A Cardinal,Piston,180,130,120,49,49,"15,800",760,"1,575",845,"1,220",435,"2,500","1,440",27/0,9/1,35/7,410,
Cessna Aircraft Company,177 Cardinal,Piston,150,125,117,46,49,"12,700",670,"1,575",845,"1,135",400,"2,350","1,415",27/0,9/1,35/7,591,
Cessna Aircraft Company,175 C,Piston,175,123,118,56,52,"14,500",790,"1,450",835,"1,170",690,"2,450","1,325",25/0,8/5,36/0,589,
Cessna Aircraft Company,"175,-A,-B",Piston,175,128,121,54,52,"15,900",850,"1,340",735,"1,155",590,"2,350","1,312",25/0,8/5,36/0,593,
Cessna Aircraft Company,172 RG II Cutlass,Piston,180,144,140,50,66,"16,800",800,"1,775","1,060","1,340",625,"2,650","1,627",27/5,8/10,35/10,720,
Cessna Aircraft Company,172 Q Cutlass,Piston,180,123,122,48,54,"17,000",680,"1,690",960,"1,335",575,"2,550","1,480",26/11,8/10,36/1,475,
Cessna Aircraft Company,R172K/Hawk XP ('77 t/o ground run=850),Piston,195,132,130,47,52,"17,000",870,"1,360",800,"1,345",635,"2,550","1,572",27/2,8/10,35/10,570,
Cessna Aircraft Company,172S Skyhawk SP,Piston,180,126,124,48,56,"14,000",730,"1,630",960,"1,335",575,"2,550","1,663",27/2,8/11,36/1,638,
Cessna Aircraft Company,172 Skyhawk ('97 & up),piston,160,123,122,47,53,"13,500",720,"1,685",945,"1,295",550,"2,457","1,600",26/11,8/11,36/1,580,
Cessna Aircraft Company,172 P II Skyhawk,Piston,160,123,120,46,43,"13,000",700,"1,625",890,"1,280",540,"2,400","1,454",26/11,8/10,35/10,440,
Cessna Aircraft Company,172N/Hawk 100 thru '80('77 t/o gr. run=820),Piston,160,124,122,44,43,"14,200",770,"1,390",775,"1,250",520,"2,300","1,430",26/11,8/10,35/10,440,
Cessna Aircraft Company,172 M Skyhawk ('76=4 mph more speed),Piston,150,122,115,44,42,"13,100",645,"1,525",865,"1,250",520,"2,300","1,335",26/11,8/10,35/10,435,
Cessna Aircraft Company,172 K & L Skyhawk,Piston,150,122,115,43,42,"13,100",645,"1,525",865,"1,250",520,"2,300","1,315",26/11,8/9,35/9,417,
Cessna Aircraft Company,R172K/Hawk XP (floats),Piston,195,117,116,44,52,"15,500",870,"1,850","1,135","1,390",675,"2,550","1,834",26/10,12/5,35/10,539,
Cessna Aircraft Company,172N-P/Hawk 100 (float plane 1978 & up),Piston,160,96,95,44,43,"15,000",740,"2,160","1,400","1,345",590,"2,220","1,632",26/8,11/11,35/10,440,
Cessna Aircraft Company,172 M (float plane 1974-76),Piston,150,98,97,44,42,"12,000",715,"2,390","1,620","1,345",590,"2,220","1,574",27/0,9/11,35/10,435,
Cessna Aircraft Company,172 M (float plane 1973),Piston,150,94,92,45,42,"12,000",580,"2,390","1,620","1,345",590,"2,220","1,450",27/0,9/11,35/9,435,
Cessna Aircraft Company,172 K & L float plane,Piston,150,94,92,45,42,"12,000",580,"2,390","1,620","1,345",590,"2,220","1,405",26/7,10/0,35/9,418,
Cessna Aircraft Company,172 I Skyhawk,Piston,150,122,115,43,42,"13,100",645,"1,525",865,"1,250",520,"2,300","1,300",26/11,8/11,36/2,515,
Cessna Aircraft Company,"172,-D,-E,-F,-G,-H",Piston,145,121,114,43,42,"13,100",645,"1,525",865,"1,250",520,"2,300","1,330",26/6,8/11,36/2,515,
Cessna Aircraft Company,172 C,Piston,145,121,114,43,42,"14,200",675,"1,450",900,"1,200",600,"2,250","1,330",26/5,8/6,36/0,515,
Cessna Aircraft Company,172 B,Piston,145,122,114,51,42,"15,100",730,"1,370",875,"1,115",600,"2,200","1,325",26/5,8/6,36/0,515,
Cessna Aircraft Company,"172,-A",Piston,145,117,108,50,37,"13,300",660,"1,650",950,"1,115",600,"2,200","1,260",25/0,8/5,36/0,420,
Cessna Aircraft Company,"170,-A,-B",Piston,145,122,104,50,42,"15,500",690,"1,820",,"1,145",,"2,200","1,205",25/0,6/5,36/0,410,
Cessna Aircraft Company,"152,A152 (w/conical wing tips)A=2 mph less",Piston,110,110,107,43,26,"14,700",715,"1,340",725,"1,200",475,"1,670","1,141",24/1,8/6,33/2,315,
Cessna Aircraft Company,"150M, A150M (Aerobat span=32/9)",Piston,100,109,106,42,26,"14,000",670,"1,385",735,"1,075",445,"1,600","1,104",23/11,8/6,33/2,303,
Cessna Aircraft Company,150 L ('71 height=8/8),Piston,100,106,102,42,26,"12,650",670,"1,385",735,"1,075",445,"1,600","1,060",23/9,8/0,33/2,303,
Cessna Aircraft Company,A 150 L Aerobat (1974),Piston,100,108,103,42,26,"14,000",670,"1,385",735,"1,075",445,"1,600","1,040",23/9,8/0,32/9,303,
Cessna Aircraft Company,"A 150 K,L Aerobat (1971-73)'71 height=8/8",Piston,100,104,100,42,26,"12,650",670,"1,385",735,"1,075",445,"1,600","1,020",23/9,8/0,32/9,303,
Cessna Aircraft Company,"150 H,J,K (K=8/8 height)",Piston,100,106,102,42,26,"12,650",670,"1,385",735,"1,075",445,"1,600","1,065",23/9,8/0,32/9,303,
Cessna Aircraft Company,150 J float plane,Piston,100,90,85,43,26,"10,700",560,"2,075","1,310",850,415,"1,650","1,120",24/1,9/1,32/9,276,
Cessna Aircraft Company,"150 D,-E,-F,-G",Piston,100,109,102,43,26,"12,650",670,"1,375",735,"1,075",445,"1,600",970,23/9,8/5,32/8,303,
Cessna Aircraft Company,"150 A,-B,-C",Piston,100,108,105,43,26,"15,300",740,"1,205",680,"1,055",360,"1,500",965,21/1,6/1,33/4,320,
Cessna Aircraft Company,150,Piston,100,108,104,47,26,"15,300",740,"1,205",680,"1,055",360,"1,500",962,21/0,6/1,33/4,318,
Cessna Aircraft Company,140 A,Piston,90,103,90,46,21,"15,600",640,"1,850",650,"1,530",460,"1,500",850,20/9,6/3,33/3,315,
Cessna Aircraft Company,140,Piston,85,102,88,46,21,"15,100",620,"1,950",750,"1,530",460,"1,500",850,20/9,6/3,33/3,315,
Cessna Aircraft Company,120,Piston,85,104,100,43,25,"15,500",640,"1,850",650,"1,530",460,"1,450",818,20/9,6/3,32/8,390,
Cirrus Design Corporation,SR20,Piston,200,,160 kts,54,56,,,"1,958","1,341","2,044","1,014","3,000","2,050",26/3,9/3,35/7,800,
Cirrus Design Corporation,SR22,Piston,310,,180 kts,59,81,,,"1,575","1,020","2,325","1,140","3,400","2,250",26,9/2,38/5,"1,000+",
Columbia Aircraft Mfg,Columbia 400 LC-41,Piston,310,235,181,57,106,"25,000",,"1,250",700,"2,350","1,150","3,600","2,500",25/2,9,35/8,"1,300",
Columbia Aircraft Mfg,Columbia 350 LC-42,Piston,310,235,179,57,106,"18,000",,"1,250",700,"2,350","1,150","3,400",2.300,25/2,9,35/8,"1,300",
Columbia Aircraft Mfg,Columbia 300 LC-40,Piston,310,235,190,57,106,"18,000",,"1,250",700,"2,350","1,550","3,400","2,250",25/2,9,36,"1,300",
Commander Premier Aircraft,155TC,Piston,270,197,187,59,90,"25,000","1,050","2,223","1,408","1,312",734,"3,305","2,152",24/11,8/7,32/10,870,
Commander Premier Aircraft,115,Piston,265,164,149,54,90,"16,800","1,070","1,985","1,145","1,200",720,"3,250","2,102",24/11,8/7,32/10,"1,005",
Commander Premier Aircraft,114TC,Piston,270,197,177,59,90,"25,000","1,050","2,223","1,408","1,312",734,"3,305","2,151",24/11,8/5,32/9,870,
Commander Premier Aircraft,"114A, Gran Turismo",Piston,260,166,157,54,68,"16,500","1,030","2,150",,"1,200",,"3,260","2,070",25/1,8/5,32/9,665,
Commander Premier Aircraft,"114,('76-24/10 length + less performance)",Piston,260,166,157,55,68,"17,400","1,088","1,990",,"1,200",,"3,140","1,905",25/1,8/5,32/9,665,
Commander Premier Aircraft,"112TC,-A,Alpine",Piston,210,170,163,54,48,"20,000",914,"1,750",,"1,275",,"2,950","2,035",25/1,8/5,35/7,620,
Commander Premier Aircraft,112B,Piston,200,150,142,51,48,"15,050",950,"1,829",,"1,039",,"2,800","1,773",25/1,8/5,35/7,575,
Commander Premier Aircraft,112A,Piston,200,149,140,54,48,"13,900","1,020","1,585",,"1,310",,"2,650","1,691",24/10,8/5,32/9,569,
Commander Premier Aircraft,112,Piston,200,152,143,53,60,"17,000","1,000","1,460",880,"1,310",680,"2,550","1,530",24/11,8/5,32/9,750,
"Cubcrafters, Inc.",Top Cub,Piston,180,132,110,42,54,"18,000",800,,580,,580,"2,300","1,200",23/6,8/5,35/2,555,
"Cubcrafters, Inc.",Sport Cub,Piston,100,122,103,27,25,"18,000",790,975,415,"1,040",245,"1,320",825,23/3,8/4,34/2,434,
Dassault Falcon Jet,Falcon 900EX,Jet,"5,000",,,,,,"4,000","5,035",,"2,385",,"48,500","23,875",66/4,24/9,63/15,"4,500",
Dassault Falcon Jet,Falcon 900 B (3-eng fan jet),Jet,"4,750",513,459,81,"19,165","41,000","4,000","4,950",,"3,500",,"45,500","22,573",66/4,24/9,63/5,"4,400",
Dassault Falcon Jet,Falcon 900 (3-eng fan jet),Jet,"4,500",513,459,81,"19,165","39,000","3,500","5,300",,"3,500",,"45,500","22,573",66/4,24/9,63/5,"4,200",
Dassault Falcon Jet,Falcon Fan Jet 50 (3-eng fan jet),Jet,"3,700",518,430,77,"15,520","41,000","3,430","4,700",,"2,800",,"38,800","21,100",60/9,22/11,61/10,"3,500",
Dassault Falcon Jet,Falcon Fan Jet 2000,Jet,"5,918",,480,,"12,155","47,000",,"5,475",,"2,565",,"35,200","19,890",66/4,23/2,63/5,"3,000",
Dassault Falcon Jet,2000EX,Jet,"7,000",.86 Mach,.80 Mach,,"16,600","42,000",,,"5,875",,"2,615","42,400","23,190",66/4,23/2,63/5,"3,800",
Dassault Falcon Jet,Falcon 200,Jet,"5,200",521,435,89,"10,684","39,000","3,065","5,260",,"2,860",,"32,000","18,800",56/3,17/6,53/6,"2,500",
Dassault Falcon Jet,Falcon Fan Jet C 20,Jet,"4,125",530,457,90,"8,420","42,000","3,500","3,800",,"2,940",,"26,455","16,600",56/3,17/4,53/6,"1,200",
Dassault Falcon Jet,Falcon Fan Jet D 20,Jet,"4,250",512,457,90,"8,980","42,000","3,500","6,400",,"4,850",,"27,337","15,400",56/3,17/5,53/6,"1,630",
Dassault Falcon Jet,Falcon Fan Jet F 20 (thru 1975),Jet,"4,315",530,458,84.5,"9,250","42,000","3,300","5,000",,"3,300",,"28,660","15,970",56/3,17/5,53/6,"1,610",
Dassault Falcon Jet,Falcon F 20,Jet,"4,500",530,410,88,"9,098","37,000","3,330","4,950",,"2,450",,"28,660","17,500",56/3,17/6,53/6,"1,614",
Dassault Falcon Jet,Falcon 100,Jet,"3,230",513,459,84,"5,912","39,000","4,600","4,615",,"2,750",,"19,300","11,200",45/6,15/2,42/11,"1,828",
Dassault Falcon Jet,Falcon Fan Jet 10,Jet,"3,230",513,459,88,"5,912","45,000","4,600","4,615",,"2,750",,"18,740","10,800",45/6,15/2,42/11,"1,828",
Dassault Falcon Jet,Falcon Fan Jet 10 ('76-'77),Jet,"3,230",459,426,92,"5,910","45,000","4,200","4,300",,"3,300",,"18,300","10,800",45/4,14/6,42/11,"1,800",
De Havilland,DHC 6-300 Twin Otter Std. + '77-'78=less perf.,Propjet,620,182,170,58,"2,583","26,700","1,600","1,500",860,"1,940",950,"12,500","6,881",51/9,19/6,65/0,300,
De Havilland,DHC 6-300 Twin Otter (thru 1976),Propjet,620,182,171,64,"2,457","26,700","1,600","1,940",860,"1,940",950,"12,500","7,487",51/9,18/7,65/0,300,
De Havilland,DHC 6-200 Twin Otter,Propjet,579,165,150,57,"2,457","24,300","1,300","1,900",579,"1,995","1,125","11,579","7,250",51/9,18/7,65/0,,
Diamond Aircraft,Twin Star Diamond DA42,Piston,135,194,172,56,52,"18,000","1,280","1,730","1,130","1,877","1,069","3,935","2,765",28/1,8/2,44/6,"1,129",
Diamond Aircraft,Katana DA20-A1,Piston,81,161,117,37,20,,680,"1,560","1,120","1,490",748,"1,609","1,095",23/6,6/11,35/7,526,
Diamond Aircraft,Katana DA20-C1,Piston,125,163,132,34,25,,"1,105","1,263",952,"1,235",550,"1,654","1,166",23/6,7/2,35/8,422,
Diamond Aircraft,Eclipse DA20-C1,Piston,125,,140kts,44kcas,24,,,"1,470","1,106","1,280",581,"1,720","1,166",23/6,7/2,35/8,,
Diamond Aircraft,Star DA40-180,Piston,180,,145kts,49kts,41,,,"1,150",,,,"2,535",,26/3,6/6,39/4,600nm,
EADS Socata Aircraft,TBM 850,Propjet,850,320,255,,"1,887","31,000","1,380","2,840",,"2,430",,"7,394","4,698",34/11,14/4,41/7,"1,520",
EADS Socata Aircraft,TBM 700C2,Propjet,700,345,333,,"1,887","31,000","1,500",,"2,832",,"2,427","7,394","4,651",34/11,14/4,41/7,"1,360",
EADS Socata Aircraft,TBM 700,Propjet,700,300,291,61,"1,887","30,000","2,380","1,591","1,017","2,034","1,181","6,579","4,050",34/11,14/4,41/7,"1,563",
EADS Socata Aircraft,TB-21 TC Trinidad,Piston,250,200,187,54,86,"25,000","1,125","1,953","1,193","1,750",755,"3,083","1,795",25/4,9/4,32/6,,
EADS Socata Aircraft,TB-20 Trinidad,Piston,250,167,160,54,86,"20,000","1,260","1,953","1,193","1,750",755,"3,083","1,744",25/4,9/4,32/6,"1,100",
EADS Socata Aircraft,TB-200XL,Piston,200,,115,,55,"16,000",937,"1,561",,"1,474",,"2,535","1,642",25/5,9/11,32/10,637,
EADS Socata Aircraft,TB-10 Tobago,Piston,180,132,117,51,54,"13,000",790,"1,657","1,066","1,394",623,"2,535","1,477",25/0,10/6,32/0,,
EADS Socata Aircraft,TB-9 Tampico Club,Piston,160,,106,50,41.7,"11,000",738,"1,706",,"1,378",,"2,337","1,411",25/3,9/11,32/0,,
Eagle,DW-1 (ag plane),Piston,300,100,57,48,40,,,"2,257","1,421",,,"5,400","2,650",27/6,10/11,55/0,,
Eclipse Aviation,Eclipse 500,Jet,900,.64 Mach,426,69,"1,686","41,000","3,314","2,297",,"2,155",,"5,920","3,550",33/6,11/0,37/11,"1,300",
Embraer Aircraft - Empresa Brasileira,Legacy EMB-135BJ,Jet,"7,987",.80 Mach,,,"18,170","41,000",,,"5,453",,"2,306","49,604","29,994",86/5,22/2,68/11,"3,361",
Embraer Aircraft - Empresa Brasileira,Phenom 300,Jet,"3,200",.78 Mach,450,,,"45,000",,,"3,700",,,,,,,,"1,800",
Embraer Aircraft - Empresa Brasileira,Phenom 100,Jet,"1,615",.70 Mach,380,,,"41,000",,,"3,400",,,,,,,,"1,320",
Embraer Aircraft - Empresa Brasileira,EMB-110P1A Bandeirante (specs=110P1/41),Propjet,750,221,181,71,440,"21,500","1,650","4,000",,"4,400",,"13,007","8,007",49/6,16/6,50/3,,
"Eurofox, Rollison LSA Inc",Eurofox,Piston,100,164,120,46,23,"14,000","1,000",,260,,,"1,235",644,18/7,7/5,29/11,600,
Excalibur Aviation,Excalibur '800' conv. Beech Twin Bonanza,Piston,400,226,213,71,230,"22,200","1,870","1,525","1,220","1,940","1,360","7,600","5,100",31/5,11/3,46/0,,
Excalibur Aviation,Excalibur conv. Beech Twin Bonanza,Piston,380,239,226,71,230,"30,000","1,900","1,225",980,"1,840","1,288","7,300","4,500",31/5,11/3,46/0,,
